path,title,order,section,description,icon
"/01-coding-is-a-personal-journey","Coding is a personal journey","1A","Intro: setting the scene","How LearningFuze helped me develop soft skills to become an effective developer","fas fa-user-check"
"/02-present","Who I am","1B","Intro: setting the scene","How LearningFuze helped me develop soft skills to become an effective developer","fas fa-user-check"
"/03-past","Who I was","1C","Intro: setting the scene","How LearningFuze helped me develop soft skills to become an effective developer","fas fa-user-check"
"/11-rock-bottom","Climbing out from the bottom","2A","Learning how to tell my story","How LearningFuze helped me develop soft skills to become an effective developer","fas fa-edit"
"/12-breaking-out-of-my-shell","Breaking out of my shell","2B","Learning how to tell my story","How LearningFuze helped me develop soft skills to become an effective developer","fas fa-edit"
"/13-you-are-more-than-your-code","Resume tips to highlight your soft skills","2C","Learning how to tell my story","How LearningFuze helped me develop soft skills to become an effective developer","fas fa-edit"
"/21-career-services-is-worth-its-weight-in-gold","Career Services is worth its weight in gold","3A","Networking: Putting yourself out there","How LearningFuze helped me develop soft skills to become an effective developer","far fa-handshake"
"/22-developing-my-soft-skills-through-building-relationships","Developing my soft skills through building relationships","3B","Networking: Putting yourself out there","How LearningFuze helped me develop soft skills to become an effective developer","far fa-handshake"
"/22-getting-interviews","Leverage career services to get your interviews","3C","Networking: Putting yourself out there","How LearningFuze helped me develop soft skills to become an effective developer","far fa-handshake"
"/31-developing-your-personal-brand","Developing your personal brand","4A","Interviewing: Telling your story","How LearningFuze helped me develop soft skills to become an effective developer","fas fa-volume-up"
"/32-your-pitch-and-talking-about-your-projects","Your pitch and talking tech","4B","Interviewing: Telling your story","How LearningFuze helped me develop soft skills to become an effective developer","fas fa-volume-up"
"/32-communicating-during-the-coding-session","Communicating during the coding session","4C","Interviewing: Telling your story","How LearningFuze helped me develop soft skills to become an effective developer","fas fa-volume-up"
